IP地址,端口,TLS,数据中心,地区,城市,网络延迟,测速 MB/s
47.243.91.58,2083,TRUE,HKG,Asia Pacific,Hong Kong,76 ms,31.66
8.210.126.88,2053,TRUE,HKG,Asia Pacific,Hong Kong,73 ms,26.78
129.154.223.89,15800,TRUE,NRT,Asia Pacific,Tokyo,72 ms,23.11
47.57.12.238,34237,TRUE,HKG,Asia Pacific,Hong Kong,70 ms,23.1
104.215.16.121,443,TRUE,KIX,Asia Pacific,Osaka,84,32.67
47.243.169.90,2083,TRUE,HKG,Asia Pacific,Hong Kong,69 ms,22.9
52.199.110.110,34237,TRUE,NRT,Asia Pacific,Tokyo,110 ms,22.74
129.154.221.203,34237,TRUE,ICN,Asia Pacific,Seoul,72 ms,22.69
18.167.194.154,443,TRUE,HKG,Asia Pacific,Hong Kong,76 ms,21.74
47.236.164.215,2083,TRUE,SIN,Asia Pacific,Singapore,126 ms,19.93
47.236.130.95,2053,TRUE,SIN,Asia Pacific,Singapore,127 ms,19.78
132.226.22.106,34237,TRUE,ICN,Asia Pacific,Seoul,75 ms,19.65
47.236.144.208,2083,TRUE,SIN,Asia Pacific,Singapore,152 ms,19.61
54.92.17.121,443,TRUE,NRT,Asia Pacific,Tokyo,71 ms,19.04
8.219.239.79,2083,TRUE,SIN,Asia Pacific,Singapore,152 ms,18.16
13.231.236.95,8443,TRUE,NRT,Asia Pacific,Tokyo,95 ms,18.16
47.236.165.25,2083,TRUE,SIN,Asia Pacific,Singapore,149 ms,18.07
146.56.171.182,11659,TRUE,NRT,Asia Pacific,Tokyo,98 ms,17.91
47.236.171.205,2083,TRUE,SIN,Asia Pacific,Singapore,134 ms,17.7
47.236.99.59,2083,TRUE,SIN,Asia Pacific,Singapore,154 ms,17.45
47.236.232.148,2083,TRUE,SIN,Asia Pacific,Singapore,151 ms,17.36
152.70.245.66,12693,TRUE,NRT,Asia Pacific,Tokyo,86 ms,17.25
47.236.117.48,2096,TRUE,SIN,Asia Pacific,Singapore,128 ms,17.12
152.70.239.134,34237,TRUE,ICN,Asia Pacific,Seoul,215 ms,16.93
47.236.118.216,2087,TRUE,SIN,Asia Pacific,Singapore,145 ms,16.88
54.95.94.250,443,TRUE,NRT,Asia Pacific,Tokyo,88 ms,16.61
138.2.75.91,443,TRUE,SIN,Asia Pacific,Singapore,108 ms,16.59
3.112.21.102,443,TRUE,NRT,Asia Pacific,Tokyo,74 ms,16.45
47.236.104.11,2083,TRUE,SIN,Asia Pacific,Singapore,152 ms,16.38
47.243.198.198,8443,TRUE,HKG,Asia Pacific,Hong Kong,72 ms,16.34
47.236.75.152,2053,TRUE,SIN,Asia Pacific,Singapore,146 ms,16.2
52.221.254.206,2053,TRUE,SIN,Asia Pacific,Singapore,94 ms,16.12
47.236.169.202,2096,TRUE,SIN,Asia Pacific,Singapore,131 ms,16.11
8.210.126.88,2083,TRUE,HKG,Asia Pacific,Hong Kong,76 ms,16.06
47.236.6.170,2053,TRUE,SIN,Asia Pacific,Singapore,129 ms,15.95
3.113.111.83,443,TRUE,NRT,Asia Pacific,Tokyo,88 ms,15.89
18.143.236.187,443,TRUE,SIN,Asia Pacific,Singapore,107 ms,15.87
47.236.232.148,2096,TRUE,SIN,Asia Pacific,Singapore,129 ms,15.78
138.2.99.97,443,TRUE,SIN,Asia Pacific,Singapore,97 ms,15.74
54.249.135.43,443,TRUE,NRT,Asia Pacific,Tokyo,90 ms,15.26
47.236.5.223,2096,TRUE,SIN,Asia Pacific,Singapore,147 ms,15.17
47.236.169.202,2087,TRUE,SIN,Asia Pacific,Singapore,149 ms,15
146.235.17.31,443,TRUE,SIN,Asia Pacific,Singapore,105 ms,14.98
47.236.6.170,2087,TRUE,SIN,Asia Pacific,Singapore,152 ms,14.67
47.236.165.25,2087,TRUE,SIN,Asia Pacific,Singapore,128 ms,14.66
146.56.146.7,21713,TRUE,HKG,Asia Pacific,Hong Kong,84 ms,14.64
152.69.219.32,443,TRUE,SIN,Asia Pacific,Singapore,87 ms,14.64
47.236.237.90,2096,TRUE,SIN,Asia Pacific,Singapore,132 ms,14.61
129.150.62.252,54774,TRUE,SIN,Asia Pacific,Singapore,107 ms,14.57
